account_id,company_name,industry,tier,arr,csm_region,contract_start_date,contract_end_date,churned
be422afb-18eb-49b7-9d3c-55458eac551b,"Floyd, Foster and Hardy",Technology,starter,14657,APAC,2025-09-06,2026-09-06,0
999abe3a-d9ce-4a26-bd65-c3c6659e3864,"Townsend, Ross and Flores",Healthcare,starter,9688,APAC,2025-11-07,2027-11-07,0
4c8a90bd-36e2-47d9-9140-e5b282317c67,"Morris, Gates and Sutton",Finance,growth,38357,NA,2025-07-01,2027-07-01,0
ad92743b-a996-4ab2-9283-e7bfdbdb5f72,"Acosta, Smith and Herrera",Finance,growth,20991,NA,2025-04-10,2027-04-10,0
41b76bd0-fb86-40c3-aa9d-ac154cb77782,Rodriguez and Sons,Finance,growth,25187,EMEA,2023-05-03,2025-05-02,1
6b1e0218-e14a-441f-959c-ea6d6ef9f3d7,"Hall, Mcdonald and White",Finance,growth,30665,EMEA,2023-03-11,2025-03-10,1
fea26b95-dd7c-4561-a7cb-fc1cfb9d2a99,Valentine Inc,Healthcare,enterprise,273211,NA,2024-01-19,2026-01-18,1
0247ffb0-2ad5-474e-8afd-7679889657b3,"Lewis, Smith and Ramsey",Technology,enterprise,171470,EMEA,2024-04-01,2025-04-01,1
de443543-cb5a-43de-ab26-7873a7625f8d,Maynard Ltd,Technology,growth,26941,NA,2024-08-08,2026-08-08,0
9827294b-1e24-4f74-a5a3-30c9b29b3702,Bowen-Davidson,Finance,growth,41025,EMEA,2024-11-03,2026-11-03,0
6b27bd54-236f-49fc-99ad-513bf1772a64,Koch-Daugherty,Technology,growth,62759,EMEA,2025-05-05,2027-05-05,0
8933e825-66f0-4781-9bc8-58d8b705662d,"Baker, Robertson and Sanders",Manufacturing,growth,20120,NA,2024-08-06,2025-08-06,1
bcb3b4f0-00ee-425e-a3c2-59e1b5fb1dd6,"Tran, Sullivan and Jones",Healthcare,enterprise,126369,EMEA,2025-12-19,2026-12-19,0
dfca199a-b898-4f19-8bab-12d6f4d5ce97,"Brady, Hawkins and Woods",Healthcare,growth,77340,APAC,2023-09-18,2024-09-17,1
13761516-3d20-41c9-b05c-97ef683cfe8b,Williams and Sons,Technology,enterprise,207389,APAC,2024-11-22,2026-11-22,0
925c4009-676d-48ff-99b4-359c7f2b0375,Fox Ltd,Finance,growth,67448,APAC,2024-05-02,2026-05-02,1
c09b7174-54e5-46f1-b7e9-21efe5149637,Floyd PLC,Retail,enterprise,272951,EMEA,2025-11-01,2026-11-01,0
ee12f5f6-7e68-49e4-8175-22206d9bf83e,Avila PLC,Finance,starter,6121,APAC,2024-11-18,2025-11-18,1
