alert_id,account_id,alert_type,severity,triggered_at,acknowledged_at,resolved_at,resolved
69ca71ed-dfb9-47ae-9691-253b38b215f8,89553b7d-d935-47a7-989b-4586a46a5e59,malware_detected,high,2023-01-13,2023-01-16,,0
75aaf037-9f12-4336-81c7-378ad046abae,133dca49-cd67-40d8-94fd-c68395c5a797,malware_detected,medium,2023-01-19,2023-01-21,2023-01-28,1
9be7729c-2b1b-4136-a9ef-2682623e23dc,61d71670-af12-4c53-8eb1-3fb47ac59b95,unauthorized_access,critical,2023-01-24,2023-01-25,2023-01-30,1
58a8d159-5521-4000-82be-909889cd3f7d,61d71670-af12-4c53-8eb1-3fb47ac59b95,malware_detected,medium,2023-01-25,2023-01-26,,0
2129d190-ddf3-4bb0-b9d2-4804d62ec09a,133dca49-cd67-40d8-94fd-c68395c5a797,malware_detected,high,2023-01-25,2023-01-26,2023-01-26,1
ddeeda79-9670-449c-b294-5ab8ca208c0c,133dca49-cd67-40d8-94fd-c68395c5a797,unauthorized_access,high,2023-01-28,,,0
e7f8c2f1-faac-48fe-96ec-75fcf2ebaaef,61d71670-af12-4c53-8eb1-3fb47ac59b95,malware_detected,high,2023-01-31,2023-02-03,,0
2349ef16-4bd6-4322-9708-8edcd85093bf,133dca49-cd67-40d8-94fd-c68395c5a797,policy_violation,high,2023-02-03,2023-02-05,2023-02-10,1
1ec4a5c9-8673-47f8-946b-f4760d09acf2,61d71670-af12-4c53-8eb1-3fb47ac59b95,policy_violation,medium,2023-02-04,2023-02-07,2023-02-14,1
af7a414b-543d-4b83-b886-a8654d580351,61d71670-af12-4c53-8eb1-3fb47ac59b95,malware_detected,low,2023-02-04,2023-02-06,2023-02-08,1
659ccce0-2903-4a18-b2d7-7fa3618e2fae,618d7c4e-5bf8-4f56-8785-5bbb5efd5a94,policy_violation,low,2023-02-07,2023-02-10,2023-02-17,1
1fd12650-a5d0-406e-82a9-88d94b9c1baa,752f74d6-df86-4272-b363-a56e692e76ed,unauthorized_access,critical,2023-02-11,2023-02-13,2023-02-16,1
88591edc-e744-4260-b778-cde132295eda,133dca49-cd67-40d8-94fd-c68395c5a797,unauthorized_access,low,2023-02-11,2023-02-13,2023-02-17,1
0930307f-f876-44f6-bb9a-0615ec0056c3,31e4fa81-76ae-4aba-adaf-1883e0ecd30d,malware_detected,medium,2023-02-16,2023-02-19,,0
d57ffc59-a363-4214-8bb8-359c76b15ac7,618d7c4e-5bf8-4f56-8785-5bbb5efd5a94,policy_violation,high,2023-02-17,,,0
742fef78-9886-4b64-ae2b-7268744c3dc7,61d71670-af12-4c53-8eb1-3fb47ac59b95,anomalous_behavior,high,2023-02-18,,,0
6fab6509-7192-45f0-bfbf-fa1b7bdd6d9e,b805e9af-f92f-4306-9c30-5f9508efaf70,policy_violation,low,2023-02-22,2023-02-25,,0
fc2bfcbe-42b1-4f92-b204-87b1454814cd,31e4fa81-76ae-4aba-adaf-1883e0ecd30d,policy_violation,high,2023-02-25,2023-02-26,2023-03-02,1
5544106e-cf97-4554-b293-4b457791abf9,61d71670-af12-4c53-8eb1-3fb47ac59b95,anomalous_behavior,low,2023-02-27,2023-02-28,2023-03-07,1
9b9aa1b6-6fa1-4e39-ad93-4a6659d853cb,2b90f9d4-d6bc-4238-9a2a-dc37c7b50c5f,unauthorized_access,high,2023-03-01,2023-03-03,2023-03-08,1
7ed1733b-6c20-483d-aa4c-7fb385a660fa,61d71670-af12-4c53-8eb1-3fb47ac59b95,unauthorized_access,low,2023-03-02,2023-03-05,2023-03-07,1
361b7fef-18ff-4b20-a95c-842d00080d03,2b90f9d4-d6bc-4238-9a2a-dc37c7b50c5f,anomalous_behavior,low,2023-03-04,2023-03-04,2023-03-08,1
8ee24b9b-55b3-4ac8-9062-0601c898cc81,61d71670-af12-4c53-8eb1-3fb47ac59b95,malware_detected,low,2023-03-04,2023-03-04,,0
2507c1a7-1287-4f69-9600-4f2c97d9278a,61d71670-af12-4c53-8eb1-3fb47ac59b95,unauthorized_access,high,2023-03-11,2023-03-14,2023-03-20,1
e525fb16-8d5e-4770-9b02-38aa6a0eac2b,6b1e0218-e14a-441f-959c-ea6d6ef9f3d7,unauthorized_access,high,2023-03-12,2023-03-15,2023-03-20,1
8b6f8398-66b3-4a31-848e-a4c9548c257d,61d71670-af12-4c53-8eb1-3fb47ac59b95,unauthorized_access,medium,2023-03-19,2023-03-22,,0
88ed56db-f988-4c41-9e82-9d419eb003f3,d223e9d1-9e8c-4440-971b-b91c2ce2e6c2,anomalous_behavior,critical,2023-03-20,2023-03-22,2023-03-28,1
f3f252d4-44f3-42c3-a103-27d8ab30c202,6b1e0218-e14a-441f-959c-ea6d6ef9f3d7,unauthorized_access,low,2023-03-27,,,0
