ticket_id,account_id,category,priority,created_at,resolved_at,satisfaction_score
1f852a69-61da-44f9-8cdc-c213e9e36c2d,89553b7d-d935-47a7-989b-4586a46a5e59,feature_request,low,2023-02-05,2023-02-10,3.0
d3097f5d-500d-4135-b6dc-bfb89bf118f3,61d71670-af12-4c53-8eb1-3fb47ac59b95,feature_request,medium,2023-02-06,2023-02-17,
3e94a8b9-75d6-4815-b030-e965045b8754,ec1d7f1f-581a-4873-9a9d-de78b90f6607,onboarding,low,2023-03-16,2023-03-23,
e7492b72-12a8-4b81-92d8-01fc59a12abd,ec1d7f1f-581a-4873-9a9d-de78b90f6607,technical,low,2023-03-22,,
ffe9fc3a-1e69-4056-b4ea-cab8b2ba07d6,61d71670-af12-4c53-8eb1-3fb47ac59b95,technical,medium,2023-03-25,2023-03-26,2.0
c92758de-8bf1-46d1-98b8-ca98e391927c,ec1d7f1f-581a-4873-9a9d-de78b90f6607,feature_request,medium,2023-04-11,2023-04-14,
a55bbebc-5004-4227-a86a-7f577d098d4b,61d71670-af12-4c53-8eb1-3fb47ac59b95,feature_request,low,2023-05-04,2023-05-12,4.0
623995a4-ae5f-4ea6-a19e-c541e4c23e5d,4a15d71b-5423-4cd9-8a9d-1a6afaf167ae,onboarding,high,2023-05-09,2023-05-21,4.0
b1142d29-86bf-40e8-a205-b2d2550dc491,b1e51404-ff0d-4774-a620-febd8385a6fe,feature_request,medium,2023-05-09,2023-05-21,1.0
e7c55255-5953-4493-badc-ccba3676ac30,41b76bd0-fb86-40c3-aa9d-ac154cb77782,onboarding,high,2023-05-16,,
6fd1e13a-bc5b-4f4e-b890-e01539cb346b,752f74d6-df86-4272-b363-a56e692e76ed,technical,high,2023-05-17,2023-05-17,3.0
588ace5b-aec2-43d8-8a60-5155fee039a0,a16553b9-4aa8-4576-9dee-3abb54058664,technical,low,2023-05-27,2023-06-01,5.0
6a1ee550-830c-4dc9-b976-b145f05e19a9,afd9702a-dd6b-4213-b52d-6e7193974098,billing,medium,2023-06-05,2023-06-19,2.0
aa56edb6-8639-40f2-aa46-3739737b781b,d223e9d1-9e8c-4440-971b-b91c2ce2e6c2,feature_request,low,2023-06-18,2023-06-22,
435089b3-6a79-4deb-ab33-dc20a0b2327c,0991201d-1323-43db-b83e-59f3660f6d91,billing,medium,2023-06-21,2023-06-30,3.0
2f6637a3-94be-4386-ac2a-818b7c035ae4,0991201d-1323-43db-b83e-59f3660f6d91,billing,medium,2023-06-22,2023-06-26,4.0
2e6d0402-9cf7-49e3-b317-1c57d432c25c,ec1d7f1f-581a-4873-9a9d-de78b90f6607,onboarding,low,2023-06-28,2023-07-10,5.0
1782b3d4-fc09-42fa-88e7-5150ca2aa730,5a566fe4-5ae4-4e7d-a43a-697352a9ba75,onboarding,medium,2023-07-14,2023-07-25,1.0
2a98bdfa-de77-441d-a63a-ba37a287bfa8,61d71670-af12-4c53-8eb1-3fb47ac59b95,billing,medium,2023-07-15,2023-07-22,3.0
35e302ce-8a34-4b32-86d6-7952a4f49081,280c8e78-921b-437a-83ca-928db4bb167c,feature_request,high,2023-07-18,2023-08-01,
ad5853b4-7fbb-40d6-af59-5c721b7944c8,ec1d7f1f-581a-4873-9a9d-de78b90f6607,billing,medium,2023-07-18,2023-08-01,5.0
d53fd625-ceb9-45cf-9878-d8a502352351,67a1a502-3e8c-48ba-a732-b8b66f911213,technical,medium,2023-07-18,2023-07-20,3.0
04983209-2f83-4263-8a41-f14cea213a76,2b90f9d4-d6bc-4238-9a2a-dc37c7b50c5f,feature_request,low,2023-07-23,2023-08-01,
5e0cd357-ab7c-4f01-96c7-12ac99f7e587,3c48c4a5-b285-4b9b-98bd-000cb27b6a09,technical,low,2023-07-24,2023-08-06,4.0
8452ac38-7ee2-435c-b409-48255607038b,e8348b92-045d-416a-827f-dc524cf251e6,onboarding,low,2023-07-25,,
01a8443b-2c0d-4c3b-b654-372dafc4704c,13947b4a-d21b-4985-bdae-e97f4973cdf4,feature_request,low,2023-07-30,2023-07-31,3.0
29074673-51ba-4244-a34c-2347b5b8368d,ec1d7f1f-581a-4873-9a9d-de78b90f6607,feature_request,medium,2023-08-03,2023-08-17,4.0
8966d148-5fbd-46f6-84b3-96e61f12269d,ec1d7f1f-581a-4873-9a9d-de78b90f6607,feature_request,medium,2023-08-04,2023-08-07,
71b8e788-3076-464c-ad82-519639f44714,ec1d7f1f-581a-4873-9a9d-de78b90f6607,billing,high,2023-08-05,,
